00181 A231    1 Brucellosis due to Brucella abortus                          Brucellosis due to Brucella abortus
00182 A232    1 Brucellosis due to Brucella suis                             Brucellosis due to Brucella suis
00183 A233    1 Brucellosis due to Brucella canis                            Brucellosis due to Brucella canis
00184 A238    1 Other brucellosis                                            Other brucellosis
00185 A239    1 Brucellosis, unspecified                                     Brucellosis, unspecified
00186 A24     0 Glanders and melioidosis                                     Glanders and melioidosis
00187 A240    1 Glanders                                                     Glanders
00188 A241    1 Acute and fulminating melioidosis                            Acute and fulminating melioidosis
00189 A242    1 Subacute and chronic melioidosis                             Subacute and chronic melioidosis
00190 A243    1 Other melioidosis                                            Other melioidosis
00191 A249    1 Melioidosis, unspecified                                     Melioidosis, unspecified
00192 A25     0 Rat-bite fevers                                              Rat-bite fevers
00193 A250    1 Spirillosis                                                  Spirillosis
00194 A251    1 Streptobacillosis                                            Streptobacillosis
00195 A259    1 Rat-bite fever, unspecified                                  Rat-bite fever, unspecified
00196 A26     0 Erysipeloid                                                  Erysipeloid
00197 A260    1 Cutaneous erysipeloid                                        Cutaneous erysipeloid
00198 A267    1 Erysipelothrix sepsis                                        Erysipelothrix sepsis
00199 A268    1 Other forms of erysipeloid                                   Other forms of erysipeloid
00200 A269    1 Erysipeloid, unspecified                                     Erysipeloid, unspecified
00201 A27     0 Leptospirosis                                                Leptospirosis
00202 A270    1 Leptospirosis icterohemorrhagica                             Leptospirosis icterohemorrhagica
00203 A278    0 Other forms of leptospirosis                                 Other forms of leptospirosis
00204 A2781   1 Aseptic meningitis in leptospirosis                          Aseptic meningitis in leptospirosis
00205 A2789   1 Other forms of leptospirosis                                 Other forms of leptospirosis
00206 A279    1 Leptospirosis, unspecified                                   Leptospirosis, unspecified
00207 A28     0 Other zoonotic bacterial diseases, not elsewhere classified  Other zoonotic bacterial diseases, not elsewhere classified
00208 A280    1 Pasteurellosis                                               Pasteurellosis
00209 A281    1 Cat-scratch disease                                          Cat-scratch disease
00210 A282    1 Extraintestinal yersiniosis                                  Extraintestinal yersiniosis
00211 A288    1 Oth zoonotic bacterial diseases, not elsewhere classified    Other specified zoonotic bacterial diseases, not elsewhere classified
00212 A289    1 Zoonotic bacterial disease, unspecified                      Zoonotic bacterial disease, unspecified
00213 A30     0 Leprosy [Hansen's disease]                                   Leprosy [Hansen's disease]
00214 A300    1 Indeterminate leprosy                                        Indeterminate leprosy
00215 A301    1 Tuberculoid leprosy                                          Tuberculoid leprosy
00216 A302    1 Borderline tuberculoid leprosy                               Borderline tuberculoid leprosy
00217 A303    1 Borderline leprosy                                           Borderline leprosy
00218 A304    1 Borderline lepromatous leprosy                               Borderline lepromatous leprosy
00219 A305    1 Lepromatous leprosy                                          Lepromatous leprosy
00220 A308    1 Other forms of leprosy                                       Other forms of leprosy
00221 A309    1 Leprosy, unspecified                                         Leprosy, unspecified
00222 A31     0 Infection due to other mycobacteria                          Infection due to other mycobacteria
00223 A310    1 Pulmonary mycobacterial infection                            Pulmonary mycobacterial infection
