00001 A00     0 Cholera                                                      Cholera
66929 S92311P 1 Disp fx of 1st metatarsal bone, r ft, subs for fx w malunion Displaced fracture of first metatarsal bone, right foot, subsequent encounter for fracture with malunion
66930 S92311S 1 Disp fx of first metatarsal bone, right foot, sequela        Displaced fracture of first metatarsal bone, right foot, sequela
66931 S92312  0 Displaced fracture of first metatarsal bone, left foot       Displaced fracture of first metatarsal bone, left foot
66932 S92312A 1 Disp fx of first metatarsal bone, left foot, init            Displaced fracture of first metatarsal bone, left foot, initial encounter for closed fracture
66933 S92312B 1 Disp fx of first metatarsal bone, left foot, init for opn fx Displaced fracture of first metatarsal bone, left foot, initial encounter for open fracture
66934 S92312D 1 Disp fx of 1st metatarsal bone, l ft, 7thD                   Displaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with routine healing
66935 S92312G 1 Disp fx of 1st metatarsal bone, l ft, 7thG                   Displaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
66936 S92312K 1 Disp fx of 1st metatarsal bone, l ft, subs for fx w nonunion Displaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with nonunion
66937 S92312P 1 Disp fx of 1st metatarsal bone, l ft, subs for fx w malunion Displaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with malunion
66938 S92312S 1 Disp fx of first metatarsal bone, left foot, sequela         Displaced fracture of first metatarsal bone, left foot, sequela
66939 S92313  0 Disp fx of first metatarsal bone, unspecified foot           Displaced fracture of first metatarsal bone, unspecified foot
66940 S92313A 1 Disp fx of first metatarsal bone, unsp foot, init            Displaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture
66941 S92313B 1 Disp fx of first metatarsal bone, unsp foot, init for opn fx Displaced fracture of first metatarsal bone, unspecified foot, initial encounter for open fracture
66942 S92313D 1 Disp fx of 1st metatarsal bone, unsp ft, 7thD                Displaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
66943 S92313G 1 Disp fx of 1st metatarsal bone, unsp ft, 7thG                Displaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
66944 S92313K 1 Disp fx of 1st metatarsal bone, unsp ft, 7thK                Displaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
66945 S92313P 1 Disp fx of 1st metatarsal bone, unsp ft, 7thP                Displaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
66946 S92313S 1 Disp fx of first metatarsal bone, unspecified foot, sequela  Displaced fracture of first metatarsal bone, unspecified foot, sequela
66947 S92314  0 Nondisplaced fracture of first metatarsal bone, right foot   Nondisplaced fracture of first metatarsal bone, right foot
66948 S92314A 1 Nondisp fx of first metatarsal bone, right foot, init        Nondisplaced fracture of first metatarsal bone, right foot, initial encounter for closed fracture
66949 S92314B 1 Nondisp fx of first metatarsal bone, r foot, init for opn fx Nondisplaced fracture of first metatarsal bone, right foot, initial encounter for open fracture
66950 S92314D 1 Nondisp fx of 1st metatarsal bone, r ft, 7thD                Nondisplaced fracture of first metatarsal bone, right foot, subsequent encounter for fracture with routine healing
66951 S92314G 1 Nondisp fx of 1st metatarsal bone, r ft, 7thG                Nondisplaced fracture of first metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
66952 S92314K 1 Nondisp fx of 1st metatarsal bone, r ft, 7thK                Nondisplaced fracture of first metatarsal bone, right foot, subsequent encounter for fracture with nonunion
66953 S92314P 1 Nondisp fx of 1st metatarsal bone, r ft, 7thP                Nondisplaced fracture of first metatarsal bone, right foot, subsequent encounter for fracture with malunion
66954 S92314S 1 Nondisp fx of first metatarsal bone, right foot, sequela     Nondisplaced fracture of first metatarsal bone, right foot, sequela
66955 S92315  0 Nondisplaced fracture of first metatarsal bone, left foot    Nondisplaced fracture of first metatarsal bone, left foot
66956 S92315A 1 Nondisp fx of first metatarsal bone, left foot, init         Nondisplaced fracture of first metatarsal bone, left foot, initial encounter for closed fracture
66957 S92315B 1 Nondisp fx of first metatarsal bone, l foot, init for opn fx Nondisplaced fracture of first metatarsal bone, left foot, initial encounter for open fracture
66958 S92315D 1 Nondisp fx of 1st metatarsal bone, l ft, 7thD                Nondisplaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with routine healing
66959 S92315G 1 Nondisp fx of 1st metatarsal bone, l ft, 7thG                Nondisplaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
66960 S92315K 1 Nondisp fx of 1st metatarsal bone, l ft, 7thK                Nondisplaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with nonunion
66961 S92315P 1 Nondisp fx of 1st metatarsal bone, l ft, 7thP                Nondisplaced fracture of first metatarsal bone, left foot, subsequent encounter for fracture with malunion
66962 S92315S 1 Nondisp fx of first metatarsal bone, left foot, sequela      Nondisplaced fracture of first metatarsal bone, left foot, sequela
66963 S92316  0 Nondisp fx of first metatarsal bone, unspecified foot        Nondisplaced fracture of first metatarsal bone, unspecified foot
66964 S92316A 1 Nondisp fx of first metatarsal bone, unsp foot, init         Nondisplaced fracture of first metatarsal bone, unspecified foot, initial encounter for closed fracture
66965 S92316B 1 Nondisp fx of 1st metatarsal bone, unsp ft, init for opn fx  Nondisplaced fracture of first metatarsal bone, unspecified foot, initial encounter for open fracture
66966 S92316D 1 Nondisp fx of 1st metatarsal bone, unsp ft, 7thD             Nondisplaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
66967 S92316G 1 Nondisp fx of 1st metatarsal bone, unsp ft, 7thG             Nondisplaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
66968 S92316K 1 Nondisp fx of 1st metatarsal bone, unsp ft, 7thK             Nondisplaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
66969 S92316P 1 Nondisp fx of 1st metatarsal bone, unsp ft, 7thP             Nondisplaced fracture of first metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
66970 S92316S 1 Nondisp fx of first metatarsal bone, unsp foot, sequela      Nondisplaced fracture of first metatarsal bone, unspecified foot, sequela
66971 S9232   0 Fracture of second metatarsal bone                           Fracture of second metatarsal bone
66972 S92321  0 Displaced fracture of second metatarsal bone, right foot     Displaced fracture of second metatarsal bone, right foot
66973 S92321A 1 Disp fx of second metatarsal bone, right foot, init          Displaced fracture of second metatarsal bone, right foot, initial encounter for closed fracture
66974 S92321B 1 Disp fx of second metatarsal bone, r foot, init for opn fx   Displaced fracture of second metatarsal bone, right foot, initial encounter for open fracture
66975 S92321D 1 Disp fx of 2nd metatarsal bone, r ft, 7thD                   Displaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with routine healing
66976 S92321G 1 Disp fx of 2nd metatarsal bone, r ft, 7thG                   Displaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
66977 S92321K 1 Disp fx of 2nd metatarsal bone, r ft, subs for fx w nonunion Displaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with nonunion
66978 S92321P 1 Disp fx of 2nd metatarsal bone, r ft, subs for fx w malunion Displaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with malunion
66979 S92321S 1 Disp fx of second metatarsal bone, right foot, sequela       Displaced fracture of second metatarsal bone, right foot, sequela
66980 S92322  0 Displaced fracture of second metatarsal bone, left foot      Displaced fracture of second metatarsal bone, left foot
66981 S92322A 1 Disp fx of second metatarsal bone, left foot, init           Displaced fracture of second metatarsal bone, left foot, initial encounter for closed fracture
66982 S92322B 1 Disp fx of second metatarsal bone, l foot, init for opn fx   Displaced fracture of second metatarsal bone, left foot, initial encounter for open fracture
66983 S92322D 1 Disp fx of 2nd metatarsal bone, l ft, 7thD                   Displaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with routine healing
66984 S92322G 1 Disp fx of 2nd metatarsal bone, l ft, 7thG                   Displaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
66985 S92322K 1 Disp fx of 2nd metatarsal bone, l ft, subs for fx w nonunion Displaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with nonunion
66986 S92322P 1 Disp fx of 2nd metatarsal bone, l ft, subs for fx w malunion Displaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with malunion
66987 S92322S 1 Disp fx of second metatarsal bone, left foot, sequela        Displaced fracture of second metatarsal bone, left foot, sequela
66988 S92323  0 Disp fx of second metatarsal bone, unspecified foot          Displaced fracture of second metatarsal bone, unspecified foot
66989 S92323A 1 Disp fx of second metatarsal bone, unsp foot, init           Displaced fracture of second metatarsal bone, unspecified foot, initial encounter for closed fracture
66990 S92323B 1 Disp fx of 2nd metatarsal bone, unsp foot, init for opn fx   Displaced fracture of second metatarsal bone, unspecified foot, initial encounter for open fracture
66991 S92323D 1 Disp fx of 2nd metatarsal bone, unsp ft, 7thD                Displaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
66992 S92323G 1 Disp fx of 2nd metatarsal bone, unsp ft, 7thG                Displaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
66993 S92323K 1 Disp fx of 2nd metatarsal bone, unsp ft, 7thK                Displaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
66994 S92323P 1 Disp fx of 2nd metatarsal bone, unsp ft, 7thP                Displaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
66995 S92323S 1 Disp fx of second metatarsal bone, unspecified foot, sequela Displaced fracture of second metatarsal bone, unspecified foot, sequela
66996 S92324  0 Nondisplaced fracture of second metatarsal bone, right foot  Nondisplaced fracture of second metatarsal bone, right foot
66997 S92324A 1 Nondisp fx of second metatarsal bone, right foot, init       Nondisplaced fracture of second metatarsal bone, right foot, initial encounter for closed fracture
66998 S92324B 1 Nondisp fx of 2nd metatarsal bone, r foot, init for opn fx   Nondisplaced fracture of second metatarsal bone, right foot, initial encounter for open fracture
66999 S92324D 1 Nondisp fx of 2nd metatarsal bone, r ft, 7thD                Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67000 S92324G 1 Nondisp fx of 2nd metatarsal bone, r ft, 7thG                Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67001 S92324K 1 Nondisp fx of 2nd metatarsal bone, r ft, 7thK                Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67002 S92324P 1 Nondisp fx of 2nd metatarsal bone, r ft, 7thP                Nondisplaced fracture of second metatarsal bone, right foot, subsequent encounter for fracture with malunion
67003 S92324S 1 Nondisp fx of second metatarsal bone, right foot, sequela    Nondisplaced fracture of second metatarsal bone, right foot, sequela
67004 S92325  0 Nondisplaced fracture of second metatarsal bone, left foot   Nondisplaced fracture of second metatarsal bone, left foot
67005 S92325A 1 Nondisp fx of second metatarsal bone, left foot, init        Nondisplaced fracture of second metatarsal bone, left foot, initial encounter for closed fracture
67006 S92325B 1 Nondisp fx of 2nd metatarsal bone, l foot, init for opn fx   Nondisplaced fracture of second metatarsal bone, left foot, initial encounter for open fracture
67007 S92325D 1 Nondisp fx of 2nd metatarsal bone, l ft, 7thD                Nondisplaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67008 S92325G 1 Nondisp fx of 2nd metatarsal bone, l ft, 7thG                Nondisplaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67009 S92325K 1 Nondisp fx of 2nd metatarsal bone, l ft, 7thK                Nondisplaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67010 S92325P 1 Nondisp fx of 2nd metatarsal bone, l ft, 7thP                Nondisplaced fracture of second metatarsal bone, left foot, subsequent encounter for fracture with malunion
67011 S92325S 1 Nondisp fx of second metatarsal bone, left foot, sequela     Nondisplaced fracture of second metatarsal bone, left foot, sequela
67012 S92326  0 Nondisp fx of second metatarsal bone, unspecified foot       Nondisplaced fracture of second metatarsal bone, unspecified foot
67013 S92326A 1 Nondisp fx of second metatarsal bone, unsp foot, init        Nondisplaced fracture of second metatarsal bone, unspecified foot, initial encounter for closed fracture
67014 S92326B 1 Nondisp fx of 2nd metatarsal bone, unsp ft, init for opn fx  Nondisplaced fracture of second metatarsal bone, unspecified foot, initial encounter for open fracture
67015 S92326D 1 Nondisp fx of 2nd metatarsal bone, unsp ft, 7thD             Nondisplaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67016 S92326G 1 Nondisp fx of 2nd metatarsal bone, unsp ft, 7thG             Nondisplaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67017 S92326K 1 Nondisp fx of 2nd metatarsal bone, unsp ft, 7thK             Nondisplaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67018 S92326P 1 Nondisp fx of 2nd metatarsal bone, unsp ft, 7thP             Nondisplaced fracture of second metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67019 S92326S 1 Nondisp fx of second metatarsal bone, unsp foot, sequela     Nondisplaced fracture of second metatarsal bone, unspecified foot, sequela
67020 S9233   0 Fracture of third metatarsal bone                            Fracture of third metatarsal bone
67021 S92331  0 Displaced fracture of third metatarsal bone, right foot      Displaced fracture of third metatarsal bone, right foot
67022 S92331A 1 Disp fx of third metatarsal bone, right foot, init           Displaced fracture of third metatarsal bone, right foot, initial encounter for closed fracture
67023 S92331B 1 Disp fx of third metatarsal bone, r foot, init for opn fx    Displaced fracture of third metatarsal bone, right foot, initial encounter for open fracture
67024 S92331D 1 Disp fx of 3rd metatarsal bone, r ft, 7thD                   Displaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67025 S92331G 1 Disp fx of 3rd metatarsal bone, r ft, 7thG                   Displaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67026 S92331K 1 Disp fx of 3rd metatarsal bone, r ft, subs for fx w nonunion Displaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67027 S92331P 1 Disp fx of 3rd metatarsal bone, r ft, subs for fx w malunion Displaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with malunion
67028 S92331S 1 Disp fx of third metatarsal bone, right foot, sequela        Displaced fracture of third metatarsal bone, right foot, sequela
67029 S92332  0 Displaced fracture of third metatarsal bone, left foot       Displaced fracture of third metatarsal bone, left foot
67030 S92332A 1 Disp fx of third metatarsal bone, left foot, init            Displaced fracture of third metatarsal bone, left foot, initial encounter for closed fracture
67031 S92332B 1 Disp fx of third metatarsal bone, left foot, init for opn fx Displaced fracture of third metatarsal bone, left foot, initial encounter for open fracture
67032 S92332D 1 Disp fx of 3rd metatarsal bone, l ft, 7thD                   Displaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67033 S92332G 1 Disp fx of 3rd metatarsal bone, l ft, 7thG                   Displaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67034 S92332K 1 Disp fx of 3rd metatarsal bone, l ft, subs for fx w nonunion Displaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67035 S92332P 1 Disp fx of 3rd metatarsal bone, l ft, subs for fx w malunion Displaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with malunion
67036 S92332S 1 Disp fx of third metatarsal bone, left foot, sequela         Displaced fracture of third metatarsal bone, left foot, sequela
67037 S92333  0 Disp fx of third metatarsal bone, unspecified foot           Displaced fracture of third metatarsal bone, unspecified foot
67038 S92333A 1 Disp fx of third metatarsal bone, unsp foot, init            Displaced fracture of third metatarsal bone, unspecified foot, initial encounter for closed fracture
67039 S92333B 1 Disp fx of third metatarsal bone, unsp foot, init for opn fx Displaced fracture of third metatarsal bone, unspecified foot, initial encounter for open fracture
67040 S92333D 1 Disp fx of 3rd metatarsal bone, unsp ft, 7thD                Displaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67041 S92333G 1 Disp fx of 3rd metatarsal bone, unsp ft, 7thG                Displaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67042 S92333K 1 Disp fx of 3rd metatarsal bone, unsp ft, 7thK                Displaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67043 S92333P 1 Disp fx of 3rd metatarsal bone, unsp ft, 7thP                Displaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67044 S92333S 1 Disp fx of third metatarsal bone, unspecified foot, sequela  Displaced fracture of third metatarsal bone, unspecified foot, sequela
67045 S92334  0 Nondisplaced fracture of third metatarsal bone, right foot   Nondisplaced fracture of third metatarsal bone, right foot
67046 S92334A 1 Nondisp fx of third metatarsal bone, right foot, init        Nondisplaced fracture of third metatarsal bone, right foot, initial encounter for closed fracture
67047 S92334B 1 Nondisp fx of third metatarsal bone, r foot, init for opn fx Nondisplaced fracture of third metatarsal bone, right foot, initial encounter for open fracture
67048 S92334D 1 Nondisp fx of 3rd metatarsal bone, r ft, 7thD                Nondisplaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67049 S92334G 1 Nondisp fx of 3rd metatarsal bone, r ft, 7thG                Nondisplaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67050 S92334K 1 Nondisp fx of 3rd metatarsal bone, r ft, 7thK                Nondisplaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67051 S92334P 1 Nondisp fx of 3rd metatarsal bone, r ft, 7thP                Nondisplaced fracture of third metatarsal bone, right foot, subsequent encounter for fracture with malunion
67052 S92334S 1 Nondisp fx of third metatarsal bone, right foot, sequela     Nondisplaced fracture of third metatarsal bone, right foot, sequela
67053 S92335  0 Nondisplaced fracture of third metatarsal bone, left foot    Nondisplaced fracture of third metatarsal bone, left foot
67054 S92335A 1 Nondisp fx of third metatarsal bone, left foot, init         Nondisplaced fracture of third metatarsal bone, left foot, initial encounter for closed fracture
67055 S92335B 1 Nondisp fx of third metatarsal bone, l foot, init for opn fx Nondisplaced fracture of third metatarsal bone, left foot, initial encounter for open fracture
67056 S92335D 1 Nondisp fx of 3rd metatarsal bone, l ft, 7thD                Nondisplaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67057 S92335G 1 Nondisp fx of 3rd metatarsal bone, l ft, 7thG                Nondisplaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67058 S92335K 1 Nondisp fx of 3rd metatarsal bone, l ft, 7thK                Nondisplaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67059 S92335P 1 Nondisp fx of 3rd metatarsal bone, l ft, 7thP                Nondisplaced fracture of third metatarsal bone, left foot, subsequent encounter for fracture with malunion
67060 S92335S 1 Nondisp fx of third metatarsal bone, left foot, sequela      Nondisplaced fracture of third metatarsal bone, left foot, sequela
67061 S92336  0 Nondisp fx of third metatarsal bone, unspecified foot        Nondisplaced fracture of third metatarsal bone, unspecified foot
67062 S92336A 1 Nondisp fx of third metatarsal bone, unsp foot, init         Nondisplaced fracture of third metatarsal bone, unspecified foot, initial encounter for closed fracture
67063 S92336B 1 Nondisp fx of 3rd metatarsal bone, unsp ft, init for opn fx  Nondisplaced fracture of third metatarsal bone, unspecified foot, initial encounter for open fracture
67064 S92336D 1 Nondisp fx of 3rd metatarsal bone, unsp ft, 7thD             Nondisplaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67065 S92336G 1 Nondisp fx of 3rd metatarsal bone, unsp ft, 7thG             Nondisplaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67066 S92336K 1 Nondisp fx of 3rd metatarsal bone, unsp ft, 7thK             Nondisplaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67067 S92336P 1 Nondisp fx of 3rd metatarsal bone, unsp ft, 7thP             Nondisplaced fracture of third metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67068 S92336S 1 Nondisp fx of third metatarsal bone, unsp foot, sequela      Nondisplaced fracture of third metatarsal bone, unspecified foot, sequela
67069 S9234   0 Fracture of fourth metatarsal bone                           Fracture of fourth metatarsal bone
67070 S92341  0 Displaced fracture of fourth metatarsal bone, right foot     Displaced fracture of fourth metatarsal bone, right foot
67071 S92341A 1 Disp fx of fourth metatarsal bone, right foot, init          Displaced fracture of fourth metatarsal bone, right foot, initial encounter for closed fracture
67072 S92341B 1 Disp fx of fourth metatarsal bone, r foot, init for opn fx   Displaced fracture of fourth metatarsal bone, right foot, initial encounter for open fracture
67073 S92341D 1 Disp fx of 4th metatarsal bone, r ft, 7thD                   Displaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67074 S92341G 1 Disp fx of 4th metatarsal bone, r ft, 7thG                   Displaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67075 S92341K 1 Disp fx of 4th metatarsal bone, r ft, subs for fx w nonunion Displaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67076 S92341P 1 Disp fx of 4th metatarsal bone, r ft, subs for fx w malunion Displaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with malunion
67077 S92341S 1 Disp fx of fourth metatarsal bone, right foot, sequela       Displaced fracture of fourth metatarsal bone, right foot, sequela
67078 S92342  0 Displaced fracture of fourth metatarsal bone, left foot      Displaced fracture of fourth metatarsal bone, left foot
67079 S92342A 1 Disp fx of fourth metatarsal bone, left foot, init           Displaced fracture of fourth metatarsal bone, left foot, initial encounter for closed fracture
67080 S92342B 1 Disp fx of fourth metatarsal bone, l foot, init for opn fx   Displaced fracture of fourth metatarsal bone, left foot, initial encounter for open fracture
67081 S92342D 1 Disp fx of 4th metatarsal bone, l ft, 7thD                   Displaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67082 S92342G 1 Disp fx of 4th metatarsal bone, l ft, 7thG                   Displaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67083 S92342K 1 Disp fx of 4th metatarsal bone, l ft, subs for fx w nonunion Displaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67084 S92342P 1 Disp fx of 4th metatarsal bone, l ft, subs for fx w malunion Displaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with malunion
67085 S92342S 1 Disp fx of fourth metatarsal bone, left foot, sequela        Displaced fracture of fourth metatarsal bone, left foot, sequela
67086 S92343  0 Disp fx of fourth metatarsal bone, unspecified foot          Displaced fracture of fourth metatarsal bone, unspecified foot
67087 S92343A 1 Disp fx of fourth metatarsal bone, unsp foot, init           Displaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for closed fracture
67088 S92343B 1 Disp fx of 4th metatarsal bone, unsp foot, init for opn fx   Displaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for open fracture
67089 S92343D 1 Disp fx of 4th metatarsal bone, unsp ft, 7thD                Displaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67090 S92343G 1 Disp fx of 4th metatarsal bone, unsp ft, 7thG                Displaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67091 S92343K 1 Disp fx of 4th metatarsal bone, unsp ft, 7thK                Displaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67092 S92343P 1 Disp fx of 4th metatarsal bone, unsp ft, 7thP                Displaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67093 S92343S 1 Disp fx of fourth metatarsal bone, unspecified foot, sequela Displaced fracture of fourth metatarsal bone, unspecified foot, sequela
67094 S92344  0 Nondisplaced fracture of fourth metatarsal bone, right foot  Nondisplaced fracture of fourth metatarsal bone, right foot
67095 S92344A 1 Nondisp fx of fourth metatarsal bone, right foot, init       Nondisplaced fracture of fourth metatarsal bone, right foot, initial encounter for closed fracture
67096 S92344B 1 Nondisp fx of 4th metatarsal bone, r foot, init for opn fx   Nondisplaced fracture of fourth metatarsal bone, right foot, initial encounter for open fracture
67097 S92344D 1 Nondisp fx of 4th metatarsal bone, r ft, 7thD                Nondisplaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with routine healing
67098 S92344G 1 Nondisp fx of 4th metatarsal bone, r ft, 7thG                Nondisplaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with delayed healing
67099 S92344K 1 Nondisp fx of 4th metatarsal bone, r ft, 7thK                Nondisplaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with nonunion
67100 S92344P 1 Nondisp fx of 4th metatarsal bone, r ft, 7thP                Nondisplaced fracture of fourth metatarsal bone, right foot, subsequent encounter for fracture with malunion
67101 S92344S 1 Nondisp fx of fourth metatarsal bone, right foot, sequela    Nondisplaced fracture of fourth metatarsal bone, right foot, sequela
67102 S92345  0 Nondisplaced fracture of fourth metatarsal bone, left foot   Nondisplaced fracture of fourth metatarsal bone, left foot
67103 S92345A 1 Nondisp fx of fourth metatarsal bone, left foot, init        Nondisplaced fracture of fourth metatarsal bone, left foot, initial encounter for closed fracture
67104 S92345B 1 Nondisp fx of 4th metatarsal bone, l foot, init for opn fx   Nondisplaced fracture of fourth metatarsal bone, left foot, initial encounter for open fracture
67105 S92345D 1 Nondisp fx of 4th metatarsal bone, l ft, 7thD                Nondisplaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with routine healing
67106 S92345G 1 Nondisp fx of 4th metatarsal bone, l ft, 7thG                Nondisplaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with delayed healing
67107 S92345K 1 Nondisp fx of 4th metatarsal bone, l ft, 7thK                Nondisplaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with nonunion
67108 S92345P 1 Nondisp fx of 4th metatarsal bone, l ft, 7thP                Nondisplaced fracture of fourth metatarsal bone, left foot, subsequent encounter for fracture with malunion
67109 S92345S 1 Nondisp fx of fourth metatarsal bone, left foot, sequela     Nondisplaced fracture of fourth metatarsal bone, left foot, sequela
67110 S92346  0 Nondisp fx of fourth metatarsal bone, unspecified foot       Nondisplaced fracture of fourth metatarsal bone, unspecified foot
67111 S92346A 1 Nondisp fx of fourth metatarsal bone, unsp foot, init        Nondisplaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for closed fracture
67112 S92346B 1 Nondisp fx of 4th metatarsal bone, unsp ft, init for opn fx  Nondisplaced fracture of fourth metatarsal bone, unspecified foot, initial encounter for open fracture
67113 S92346D 1 Nondisp fx of 4th metatarsal bone, unsp ft, 7thD             Nondisplaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with routine healing
67114 S92346G 1 Nondisp fx of 4th metatarsal bone, unsp ft, 7thG             Nondisplaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with delayed healing
67115 S92346K 1 Nondisp fx of 4th metatarsal bone, unsp ft, 7thK             Nondisplaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with nonunion
67116 S92346P 1 Nondisp fx of 4th metatarsal bone, unsp ft, 7thP             Nondisplaced fracture of fourth metatarsal bone, unspecified foot, subsequent encounter for fracture with malunion
67117 S92346S 1 Nondisp fx of fourth metatarsal bone, unsp foot, sequela     Nondisplaced fracture of fourth metatarsal bone, unspecified foot, sequela
67118 S9235   0 Fracture of fifth metatarsal bone                            Fracture of fifth metatarsal bone
67119 S92351  0 Displaced fracture of fifth metatarsal bone, right foot      Displaced fracture of fifth metatarsal bone, right foot
67120 S92351A 1 Disp fx of fifth metatarsal bone, right foot, init           Displaced fracture of fifth metatarsal bone, right foot, initial encounter for closed fracture
67121 S92351B 1 Disp fx of fifth metatarsal bone, r foot, init for opn fx    Displaced fracture of fifth metatarsal bone, right foot, initial encounter for open fracture
